KOD;NAZEV;POPIS;ZKRACENY_NAZEV;ZACATEK_PLATNOSTI;KONEC_PLATNOSTI
1;Obytná plocha v kompaktní zástavbì;;;01.01.2012 00:00:00;
2;Odlouèená obytná plocha vèetnì pøilehlých zemìdìlských ploch;;;01.01.2012 00:00:00;
3;Prùmyslový areál;;;01.01.2012 00:00:00;
4;Dopravní areál;;;01.01.2012 00:00:00;
5;Areál obèanské vybavenosti;;;01.01.2012 00:00:00;
6;Ostatní úèelová plocha;;;01.01.2012 00:00:00;
7;Rezervní plocha;;;01.01.2012 00:00:00;
8;Rekreaèní plocha;;;01.01.2012 00:00:00;
9;Zemìdìlská plocha;;;01.01.2012 00:00:00;
10;Lesní plocha;;;01.01.2012 00:00:00;
11;Venkovská smíšená lokalita;;;01.01.2012 00:00:00;
12;Venkovská lokalita bez zástavby;;;01.01.2012 00:00:00;
13;Mìstská a pøímìstská smíšená plocha;;;01.09.2019 00:00:00;
14;Obytnì rekreaèní plocha;;;01.09.2019 00:00:00;
