Kód obce,Obec,ORP,Okres,Kraj
554979,Abertamy,Ostrov,Karlovy Vary,Karlovarský kraj
581291,Adamov,Blansko,Blansko,Jihomoravský kraj
531367,Adamov,Čáslav,Kutná Hora,Středočeský kraj
535826,Adamov,České Budějovice,České Budějovice,Jihočeský kraj
547786,Adršpach,Broumov,Náchod,Královéhradecký kraj
598925,Albrechtice,Havířov,Karviná,Moravskoslezský kraj
547981,Albrechtice,Lanškroun,Ústí nad Orlicí,Pardubický kraj
576077,Albrechtice nad Orlicí,Kostelec nad Orlicí,Rychnov nad Kněžnou,Královéhradecký kraj
549258,Albrechtice nad Vltavou,Písek,Písek,Jihočeský kraj
563528,Albrechtice v Jizerských horách,Tanvald,Jablonec nad Nisou,Liberecký kraj
568741,Albrechtičky,Bílovec,Nový Jičín,Moravskoslezský kraj
506761,Alojzov,Prostějov,Prostějov,Olomoucký kraj
551929,Andělská Hora,Bruntál,Bruntál,Moravskoslezský kraj
538001,Andělská Hora,Karlovy Vary,Karlovy Vary,Karlovarský kraj
573426,Anenská Studánka,Lanškroun,Ústí nad Orlicí,Pardubický kraj
586030,Archlebov,Kyjov,Hodonín,Jihomoravský kraj
509388,Arneštovice,Pelhřimov,Pelhřimov,Kraj Vysočina
586854,Arnolec,Jihlava,Jihlava,Kraj Vysočina
562343,Arnoltice,Děčín,Děčín,Ústecký kraj
554499,Aš,Aš,Cheb,Karlovarský kraj
590274,Babice,Moravské Budějovice,Třebíč,Kraj Vysočina
569828,Babice,Nový Bydžov,Hradec Králové,Královéhradecký kraj
537241,Babice,Prachatice,Prachatice,Jihočeský kraj
538043,Babice,Říčany,Praha-východ,Středočeský kraj
552356,Babice,Šternberk,Olomouc,Olomoucký kraj
592013,Babice,Uherské Hradiště,Uherské Hradiště,Zlínský kraj
582794,Babice nad Svitavou,Šlapanice,Brno-venkov,Jihomoravský kraj
582808,Babice u Rosic,Rosice,Brno-venkov,Jihomoravský kraj
553433,Babylon,Domažlice,Domažlice,Plzeňský kraj
553701,Bačalky,Jičín,Jičín,Královéhradecký kraj
576085,Bačetín,Dobruška,Rychnov nad Kněžnou,Královéhradecký kraj
590282,Bačice,Třebíč,Třebíč,Kraj Vysočina
546194,Bačkov,Havlíčkův Brod,Havlíčkův Brod,Kraj Vysočina
544833,Bačkovice,Moravské Budějovice,Třebíč,Kraj Vysočina
561118,Bácovice,Pelhřimov,Pelhřimov,Kraj Vysočina
535427,Bakov nad Jizerou,Mladá Boleslav,Mladá Boleslav,Středočeský kraj
595217,Baliny,Velké Meziříčí,Žďár nad Sázavou,Kraj Vysočina
563251,Balkova Lhota,Tábor,Tábor,Jihočeský kraj
572560,Banín,Svitavy,Svitavy,Pardubický kraj
592021,Bánov,Uherský Brod,Uherské Hradiště,Zlínský kraj
562726,Báňovice,Dačice,Jindřichův Hradec,Jihočeský kraj
593729,Bantice,Znojmo,Znojmo,Jihomoravský kraj
569836,Barchov,Nový Bydžov,Hradec Králové,Královéhradecký kraj
574724,Barchov,Pardubice,Pardubice,Pardubický kraj
533173,Barchovice,Kolín,Kolín,Středočeský kraj
588300,Bařice-Velké Těšany,Kroměříž,Kroměříž,Zlínský kraj
599212,Bartošovice,Nový Jičín,Nový Jičín,Moravskoslezský kraj
576093,Bartošovice v Orlických horách,Rychnov nad Kněžnou,Rychnov nad Kněžnou,Královéhradecký kraj
548260,Bartoušov,Havlíčkův Brod,Havlíčkův Brod,Kraj Vysočina
598011,Baška,Frýdek-Místek,Frýdek-Místek,Moravskoslezský kraj
572667,Bašnice,Hořice,Jičín,Královéhradecký kraj
538051,Bašť,Brandýs nad Labem-Stará Boleslav,Praha-východ,Středočeský kraj
586862,Batelov,Jihlava,Jihlava,Kraj Vysočina
579041,Batňovice,Trutnov,Trutnov,Královéhradecký kraj
550809,Bavorov,Vodňany,Strakonice,Jihočeský kraj
584304,Bavory,Mikulov,Břeclav,Jihomoravský kraj
534421,Bavoryně,Beroun,Beroun,Středočeský kraj
566756,Bdeněves,Nýřany,Plzeň-sever,Plzeňský kraj
565423,Bdín,Rakovník,Rakovník,Středočeský kraj
572675,Běchary,Jičín,Jičín,Královéhradecký kraj
564575,Bechlín,Roudnice nad Labem,Litoměřice,Ústecký kraj
552054,Bechyně,Tábor,Tábor,Jihočeský kraj
563366,Bečice,Tábor,Tábor,Jihočeský kraj
536156,Bečice,Týn nad Vltavou,České Budějovice,Jihočeský kraj
567043,Bečov,Most,Most,Ústecký kraj
554995,Bečov nad Teplou,Karlovy Vary,Karlovy Vary,Karlovarský kraj
533181,Bečváry,Kolín,Kolín,Středočeský kraj
