KOD;NAZEV;POPIS;ZKRACENY_NAZEV;ZACATEK_PLATNOSTI;KONEC_PLATNOSTI
1;prùmyslový objekt;prùmyslový objekt;prùmyslový objekt;01.01.1993 00:00:00;11.12.2016 00:00:00
2;zemìdìlská usedlost;zemìdìlská usedlost;zemìdìlská usedlost;01.01.1993 00:00:00;
3;objekt k bydlení;objekt k bydlení;objekt k bydlení;01.01.1993 00:00:00;11.12.2016 00:00:00
4;objekt lesního hospodáøství;objekt lesního hospodáøství;objekt lesního hospodáøství;01.01.1993 00:00:00;11.12.2016 00:00:00
5;objekt obèanské vybavenosti;objekt obèanské vybavenosti;objekt obèanské vybavenosti;01.01.1993 00:00:00;11.12.2016 00:00:00
6;bytový dùm;bytový dùm;bytový dùm;01.01.1993 00:00:00;
7;rodinný dùm;rodinný dùm;rodinný dùm;01.01.1993 00:00:00;
8;stavba pro rodinnou rekreaci;stavba pro rodinnou rekreaci;stavba pro rodinnou rekreaci;01.01.1993 00:00:00;
9;stavba pro shromažïování vìtšího poètu osob;stavba pro shromažïování osob;stavba pro shromažïování osob;01.01.1993 00:00:00;
10;stavba pro obchod;stavba pro obchod;stavba pro obchod;01.01.1993 00:00:00;
11;stavba ubytovacího zaøízení;stavba ubytovacího zaøízení;stavba ubytovacího zaøízení;01.01.1993 00:00:00;
12;stavba pro výrobu a skladování;stavba pro výrobu a skladování;stavba pro výrobu a skladování;01.01.1993 00:00:00;
13;zemìdìlská stavba;zemìdìlská stavba;zemìdìlská stavba;01.01.1993 00:00:00;
14;stavba pro administrativu;stavba pro administrativu;stavba pro administrativu;01.01.1993 00:00:00;
15;stavba obèanského vybavení;stavba obèanského vybavení;stavba obèanského vybavení;01.01.1993 00:00:00;
16;stavba technického vybavení;stavba technického vybavení;stavba technického vybavení;01.01.1993 00:00:00;
17;stavba pro dopravu;stavba pro dopravu;stavba pro dopravu;01.01.1993 00:00:00;
18;garáž;garáž;garáž;01.01.1993 00:00:00;
19;jiná stavba;jiná stavba;jiná stavba;01.01.1993 00:00:00;
20;víceúèelová stavba;víceúèelová stavba;víceúèelová stavba;01.03.2007 00:00:00;
21;skleník;skleník;skleník;01.03.2007 00:00:00;
22;pøehrada;pøehrada;pøehrada;01.01.2007 00:00:00;24.05.2015 23:59:59
23;hráz pøehrazující vodní tok nebo údolí;hráz pøehrazující vodní tok nebo údolí;hráz pø.;01.01.2007 00:00:00;24.05.2015 23:59:59
24;hráz k ochranì nemovitostí pøed zaplavením pøi povodni;hráz k ochranì nemovitostí pøed zaplavením pøi povodni;hráz pod;01.01.2007 00:00:00;24.05.2015 23:59:59
25;hráz ohrazující umìlou vodní nádrž;hráz ohrazující umìlou vodní nádrž;hráz ohr;01.01.2007 00:00:00;24.05.2015 23:59:59
26;jez;jez;jez;01.01.2007 00:00:00;24.05.2015 23:59:59
27;stavba k plaveb.úèelùm v korytech nebo na bøezích vod.tokù;stavba k plaveb.úèelùm v korytech nebo na bøezích vod.tokù;plav.úè.;01.01.2007 00:00:00;24.05.2015 23:59:59
28;stavba k využití vodní energie (vodní elektrárna);stavba k využití vodní energie (vodní elektrárna);vodní el.;01.01.2007 00:00:00;04.05.2016 23:59:59
29;stavba odkalištì;stavba odkalištì;odkalištì;01.01.2007 00:00:00;24.05.2015 00:00:00
30;rozestavìné jednotky;rozestavìné jednotky;rozest.j;10.02.2015 00:00:00;24.05.2015 23:59:59
