Kód obce,Obec,ORP,Okres,Kraj,Extent
554979,Abertamy,Ostrov,Karlovy Vary,Karlovarský kraj,"POLYGON((-852110.52 -997028,-852110.52 -991955.59,-848530.42 -991955.59,-848530.42 -997028,-852110.52 -997028))"
581291,Adamov,Blansko,Blansko,Jihomoravský kraj,"POLYGON((-594524.24 -1151316.28,-594524.24 -1147891.82,-590763.18 -1147891.82,-590763.18 -1151316.28,-594524.24 -1151316.28))"
531367,Adamov,Čáslav,Kutná Hora,Středočeský kraj,"POLYGON((-677781.31 -1079038.62,-677781.31 -1076855.39,-675371.98 -1076855.39,-675371.98 -1079038.62,-677781.31 -1079038.62))"
535826,Adamov,České Budějovice,České Budějovice,Jihočeský kraj,"POLYGON((-751027.57 -1164217.46,-751027.57 -1162820.89,-748760.59 -1162820.89,-748760.59 -1164217.46,-751027.57 -1164217.46))"
547786,Adršpach,Broumov,Náchod,Královéhradecký kraj,"POLYGON((-620210.19 -1001989.66,-620210.19 -996037.66,-613483.71 -996037.66,-613483.71 -1001989.66,-620210.19 -1001989.66))"
598925,Albrechtice,Havířov,Karviná,Moravskoslezský kraj,"POLYGON((-455999.49 -1110721.74,-455999.49 -1106939.14,-451098.4 -1106939.14,-451098.4 -1110721.74,-455999.49 -1110721.74))"
547981,Albrechtice,Lanškroun,Ústí nad Orlicí,Pardubický kraj,"POLYGON((-587497.73 -1083274.99,-587497.73 -1077983.29,-584029.39 -1077983.29,-584029.39 -1083274.99,-587497.73 -1083274.99))"
576077,Albrechtice nad Orlicí,Kostelec nad Orlicí,Rychnov nad Kněžnou,Královéhradecký kraj,"POLYGON((-629464.66 -1052856.37,-629464.66 -1050805.67,-624907.32 -1050805.67,-624907.32 -1052856.37,-629464.66 -1052856.37))"
549258,Albrechtice nad Vltavou,Písek,Písek,Jihočeský kraj,"POLYGON((-766179.39 -1136879.31,-766179.39 -1124102.62,-759553.3 -1124102.62,-759553.3 -1136879.31,-766179.39 -1136879.31))"
563528,Albrechtice v Jizerských horách,Tanvald,Jablonec nad Nisou,Liberecký kraj,"POLYGON((-675008.94 -977377.22,-675008.94 -968961.08,-669757.95 -968961.08,-669757.95 -977377.22,-675008.94 -977377.22))"
568741,Albrechtičky,Bílovec,Nový Jičín,Moravskoslezský kraj,"POLYGON((-486098.4 -1116332.54,-486098.4 -1113754.37,-483499.51 -1113754.37,-483499.51 -1116332.54,-486098.4 -1116332.54))"
506761,Alojzov,Prostějov,Prostějov,Olomoucký kraj,"POLYGON((-565507.01 -1140098.53,-565507.01 -1137357.08,-562718.43 -1137357.08,-562718.43 -1140098.53,-565507.01 -1140098.53))"
551929,Andělská Hora,Bruntál,Bruntál,Moravskoslezský kraj,"POLYGON((-535461.14 -1071259.29,-535461.14 -1064106.75,-530390.5 -1064106.75,-530390.5 -1071259.29,-535461.14 -1071259.29))"
538001,Andělská Hora,Karlovy Vary,Karlovy Vary,Karlovarský kraj,"POLYGON((-845862.51 -1016766.3,-845862.51 -1012931.53,-842403.57 -1012931.53,-842403.57 -1016766.3,-845862.51 -1016766.3))"
573426,Anenská Studánka,Lanškroun,Ústí nad Orlicí,Pardubický kraj,"POLYGON((-596015.52 -1091462.93,-596015.52 -1086402.41,-593401.48 -1086402.41,-593401.48 -1091462.93,-596015.52 -1091462.93))"
